T,mut_pct,evasion_type,threshold,fpr,tpr
100,15,evasion_pure,30.614393726401687,0.0,0.654
100,15,evasion_pure,30.018181392829337,0.0,0.696
100,15,evasion_pure,29.421360790031926,0.0,0.782
100,15,evasion_pure,28.82390874094432,0.0,0.822
100,15,evasion_pure,28.22767829327708,0.0,0.851
100,15,evasion_pure,27.630784142589857,0.0,0.87
100,15,evasion_pure,27.034328028779893,0.0,0.918
100,15,evasion_pure,26.437707135543526,0.0,0.928
100,15,evasion_pure,25.84163750790475,0.0,0.943
100,15,evasion_pure,25.24412514432751,0.0,0.956
100,15,evasion_pure,24.647817481888637,0.0,0.979
100,15,evasion_pure,24.05060999335509,0.0,0.984
100,15,evasion_pure,23.45345733652187,0.0,0.986
100,15,evasion_pure,22.856985199745903,0.0,0.99
100,15,evasion_pure,21.66354026615147,0.0,0.993
100,15,evasion_pure,20.46980030179692,0.0,0.996
100,15,evasion_pure,19.872895201635192,0.0,0.997
100,15,evasion_pure,18.679853713888946,0.0,1.0
100,15,evasion_pure,4.357535479757878,0.001,1.0
100,15,evasion_pure,3.1643094285075746,0.017,1.0
100,15,evasion_pure,2.5228787452803374,0.078,1.0
100,15,evasion_pure,1.958607314841775,0.243,1.0
100,15,evasion_pure,1.3767507096020994,0.663,1.0
100,15,evasion_pure,0.769551078621726,0.966,1.0
100,15,evasion_pure,0.1804560644581313,1.0,1.0
100,15,evasion_pure,-inf,1.0,1.0
100,15,evasion_dilute,inf,0.0,0.0
100,15,evasion_dilute,44.935542010773084,0.0,0.001
100,15,evasion_dilute,43.74232142513082,0.0,0.002
100,15,evasion_dilute,41.356547323513816,0.0,0.004
100,15,evasion_dilute,40.7594507517174,0.0,0.005
100,15,evasion_dilute,38.97061622231479,0.0,0.006
100,15,evasion_dilute,37.1791420105603,0.0,0.007
100,15,evasion_dilute,36.58169870868026,0.0,0.01
100,15,evasion_dilute,35.98716277529483,0.0,0.013
100,15,evasion_dilute,35.38827669199266,0.0,0.014
100,15,evasion_dilute,34.79317412396815,0.0,0.018
100,15,evasion_dilute,34.195179321278836,0.0,0.025
100,15,evasion_dilute,33.598599459218455,0.0,0.03
100,15,evasion_dilute,33.0017406615763,0.0,0.032
100,15,evasion_dilute,32.40450377817442,0.0,0.043
100,15,evasion_dilute,31.80966830182971,0.0,0.067
100,15,evasion_dilute,31.211831628858832,0.0,0.075
100,15,evasion_dilute,30.614393726401687,0.0,0.085
100,15,evasion_dilute,30.018181392829337,0.0,0.102
100,15,evasion_dilute,29.421360790031926,0.0,0.121
100,15,evasion_dilute,28.82390874094432,0.0,0.136
100,15,evasion_dilute,28.22767829327708,0.0,0.146
100,15,evasion_dilute,27.630784142589857,0.0,0.16
100,15,evasion_dilute,27.034328028779893,0.0,0.203
100,15,evasion_dilute,26.437707135543526,0.0,0.221
100,15,evasion_dilute,25.84163750790475,0.0,0.24
100,15,evasion_dilute,25.24412514432751,0.0,0.263
100,15,evasion_dilute,24.647817481888637,0.0,0.312
